Cod;NomeCientifico;NomePopular
4709;Aa spp.;
1980924;Abarema adenophora;Olho-de-peixe
1980927;Abarema cochliacarpos;Babatenon
1049335;Abarema filamentosa;Olho-de-pomba
35843;Abarema jupunba;Pau-bicho
35843;Abarema jupunba;Angelim-falso
35843;Abarema jupunba;Contas-de-nossa-senhora
35843;Abarema jupunba;Fava-amargosa
35843;Abarema jupunba;Saboeiro
35843;Abarema jupunba;Tento-azul
35843;Abarema jupunba;Igaraná
2024607;Abarema spp;Fava-branca
1981208;Abarema villosa;Barbatimão
1981208;Abarema villosa;Ingá-negro
1981208;Abarema villosa;Bordão-de-velho
33997;Abbevillea chrysophylla;
34537;Abbevillea guaviroba;Guabiroba-de-cachorro
4710;Abdominea spp.;
33862;Aberemoa lanceolata;
33318;Aberemoa spp.;
32824;Abies balsamea;Pinheiro
34045;Abies cilicica;Abeto
34073;Abies concolor;Abeto
34073;Abies concolor;Oyamel-de-california
34680;Abies numidica;Abeto
31581;Abies pectinata;Pinheiro
33450;Abies pinsapo;Pinheiro
35267;Abuta spp.;Abuta
32206;Abutilon fluviatile;Cuiteleiro
30041;Acacallis cyanae;Orquídea
30041;Acacallis cyanae;Orchid
1319660;Acacallis hoehne;
5354;Acacallis spp.;
33414;Acacia adhaerens;Acácia
31582;Acacia albida;Acácia
34681;Acacia arabica;Árvore-da-goma-arábica
34681;Acacia arabica;Acácia-do-nilo
31583;Acacia atramentaria;Curupaí-curu
32207;Acacia baileyana;Acácia-da-austrália
33451;Acacia cavenia;Espinilho
33451;Acacia cavenia;Pata-de-vaca
32009;Acacia cornigera;Acácia-cornígera
32199;Acacia cyanophylla;Acácia-da-austrália
35268;Acacia dealbata;Acácia-da-austrália
35268;Acacia dealbata;Aroma-francesa
32208;Acacia decurrens;Acácia-negra
32208;Acacia decurrens;Acácia-da-austrália
32208;Acacia decurrens;Acácia
31584;Acacia farnesiana;Corona-cristi
31584;Acacia farnesiana;Arapiraca
31584;Acacia farnesiana;Aromita
31584;Acacia farnesiana;Coronha
31584;Acacia farnesiana;Esponjeira
31584;Acacia farnesiana;Sweet-acacia
31584;Acacia farnesiana;Vinhático-de-espinho
31584;Acacia farnesiana;Espinilho
31584;Acacia farnesiana;Esponja
31584;Acacia farnesiana;Esponjinha
31584;Acacia farnesiana;Espinheiro
33452;Acacia glomerosa;Angico-preto
33452;Acacia glomerosa;Muquém
32209;Acacia jurema;Jurema
32804;Acacia laeta;Acácia
1042680;Acacia mangium;acácia-australiana
33453;Acacia melanoxylon;Mogno-da-austrália
33453;Acacia melanoxylon;Maogani-da-austrália
33453;Acacia melanoxylon;Ébano-da-austrália
33453;Acacia melanoxylon;Tasmanian-blackwood
33453;Acacia melanoxylon;Madeira-preta
31585;Acacia monteirii;Monjolo-ferro
32630;Acacia nilotica;
34074;Acacia paniculata;Angiquinho
34074;Acacia paniculata;Monjoleiro
1034922;Acacia plumosa;Arranha-gato
1034922;Acacia plumosa;Acácia-de-espinho
1034922;Acacia plumosa;Unha-de-gato
31586;Acacia polyphylla;Guarucaia
31586;Acacia polyphylla;Juqueriguaçu
31586;Acacia polyphylla;Acácia-monjolo
31586;Acacia polyphylla;Espinheiro-preto
31586;Acacia polyphylla;Paricá-grande
31586;Acacia polyphylla;Fava-de-espinho
31586;Acacia polyphylla;Monjoleiro
31586;Acacia polyphylla;Angico-monjolo
31586;Acacia polyphylla;Paricá-branco
31586;Acacia polyphylla;Faveira-de-espinho
31586;Acacia polyphylla;Paricarana
31586;Acacia polyphylla;Paricá
31586;Acacia polyphylla;Angiquinho
31586;Acacia polyphylla;Paricarana-do-amazonas
31586;Acacia polyphylla;Paricarana-de-espinho
34600;Acacia pycnantha;Acácia-da-austrália
32851;Acacia riparia;Unha-de-gato
32851;Acacia riparia;Malícia
32851;Acacia riparia;Paricarana
32851;Acacia riparia;Paricá-preto
34075;Acacia spadicigera;Acácia
35844;Acacia spp.;Cobi
32210;Acacia striata;Mata-cavalo
32827;Acacia visco;Visco
4711;Acampe spp.;
4712;Acanthephippium spp.;
4085;Acanthocalycium spp.;
18081;Acanthocereus brasiliensis;Cactus
18081;Acanthocereus brasiliensis;Cacto
4086;Acanthocereus spp.;
450214;Acanthocereus tetragonus;Órgano-alado-de-pitaya
36318;Acanthococos spp.;
4087;Acantholobivia spp.;
4088;Acanthorhipsalis spp.;
33925;Acanthorrhiza warscewiczii;
32852;Acanthosyris paulo-alvinii;Mata-cacau
34682;Acanthosyris spinescens;Sombra-de-touro
32211;Acca sellowiana;Goiaba-serrana
32211;Acca sellowiana;Goiaba-verde
32211;Acca sellowiana;Goiaba-silvestre
32211;Acca sellowiana;Goiaba-de-casca-verde
32211;Acca sellowiana;Araçá-do-rio-grande
32211;Acca sellowiana;Goiaba-do-mato
32211;Acca sellowiana;Goiabeira-do-mato
32211;Acca sellowiana;Goiabeira-serrana
32211;Acca sellowiana;Goiaba
32211;Acca sellowiana;Goiaba-do-campo
32211;Acca sellowiana;Goiaba-ananás
