Código da espécie,Nome cientifico,Código Nome Popular,Nome popular
1980924,Abarema adenophora,88915,Olho-de-peixe
1980927,Abarema cochliacarpos,88658,Babatenon
1049335,Abarema filamentosa,88649,Olho-de-pomba
35843,Abarema jupunba,45309,Angelim-falso
35843,Abarema jupunba,47519,Contas-de-nossa-senhora
35843,Abarema jupunba,43009,Fava-amargosa
35843,Abarema jupunba,54094,Igaraná
35843,Abarema jupunba,45310,Pau-bicho
35843,Abarema jupunba,40883,Saboeiro
35843,Abarema jupunba,40884,Tento-azul
2024607,Abarema spp,88917,Fava-branca
1981208,Abarema villosa,88873,Barbatimão
1981208,Abarema villosa,88871,Bordão-de-velho
1981208,Abarema villosa,88872,Ingá-negro
34537,Abbevillea guaviroba,44457,Guabiroba-de-cachorro
32824,Abies balsamea,38444,Pinheiro
34045,Abies cilicica,54095,Abeto
34073,Abies concolor,43010,Abeto
34073,Abies concolor,73330,Oyamel-de-california
34680,Abies numidica,52053,Abeto
31581,Abies pectinata,45311,Pinheiro
33450,Abies pinsapo,40885,Pinheiro
35267,Abuta spp.,40886,Abuta
32206,Abutilon fluviatile,36421,Cuiteleiro
30041,Acacallis cyanae,35608,Orchid
30041,Acacallis cyanae,35609,Orquídea
33414,Acacia adhaerens,38325,Acácia
31582,Acacia albida,45312,Acácia
1037125,Acacia angustissima,89446,Acacia-angustíssima
34681,Acacia arabica,40887,Acácia-do-nilo
34681,Acacia arabica,38633,Árvore-da-goma-arábica
31583,Acacia atramentaria,49782,Curupaí-curu
1034898,Acacia auriculiformis,89445,Acacia
32207,Acacia baileyana,36422,Acácia-da-austrália
33451,Acacia cavenia,45306,Espinilho
33451,Acacia cavenia,43011,Pata-de-vaca
32009,Acacia cornigera,51127,Acácia-cornígera
32199,Acacia cyanophylla,47488,Acácia-da-austrália
35268,Acacia dealbata,51875,Acácia-da-austrália
35268,Acacia dealbata,45313,Aroma-francesa
32208,Acacia decurrens,43012,Acácia
32208,Acacia decurrens,49783,Acácia-da-austrália
32208,Acacia decurrens,36423,Acácia-negra
31584,Acacia farnesiana,52054,Arapiraca
31584,Acacia farnesiana,40888,Aromita
31584,Acacia farnesiana,44838,Corona-cristi
31584,Acacia farnesiana,43013,Coronha
31584,Acacia farnesiana,42670,Espinheiro
31584,Acacia farnesiana,40889,Espinilho
31584,Acacia farnesiana,52055,Esponja
31584,Acacia farnesiana,49593,Esponjeira
31584,Acacia farnesiana,45314,Esponjinha
31584,Acacia farnesiana,71226,Sweet-acacia
31584,Acacia farnesiana,53465,Vinhático-de-espinho
33452,Acacia glomerosa,47520,Angico-preto
33452,Acacia glomerosa,36424,Muquém
32209,Acacia jurema,38634,Jurema
32804,Acacia laeta,44953,Acácia
1042680,Acacia mangium,84764,acácia-australiana
33453,Acacia melanoxylon,49592,Ébano-da-austrália
33453,Acacia melanoxylon,47521,Madeira-preta
33453,Acacia melanoxylon,38635,Maogani-da-austrália
33453,Acacia melanoxylon,37793,Mogno-da-austrália
33453,Acacia melanoxylon,71228,Tasmanian-blackwood
31585,Acacia monteirii,43014,Monjolo-ferro
34074,Acacia paniculata,45315,Angiquinho
34074,Acacia paniculata,40655,Monjoleiro
1034922,Acacia plumosa,88686,Acácia-de-espinho
1034922,Acacia plumosa,88685,Arranha-gato
1034922,Acacia plumosa,88684,Unha-de-gato
31586,Acacia polyphylla,45010,Acácia-monjolo
31586,Acacia polyphylla,38315,Angico-monjolo
31586,Acacia polyphylla,43015,Angiquinho
31586,Acacia polyphylla,45316,Espinheiro-preto
31586,Acacia polyphylla,42213,Fava-de-espinho
31586,Acacia polyphylla,40890,Faveira-de-espinho
31586,Acacia polyphylla,54031,Guarucaia
31586,Acacia polyphylla,51876,Juqueriguaçu
31586,Acacia polyphylla,43016,Monjoleiro
31586,Acacia polyphylla,47522,Paricá
31586,Acacia polyphylla,38636,Paricá-branco
31586,Acacia polyphylla,51198,Paricá-grande
31586,Acacia polyphylla,47523,Paricarana
31586,Acacia polyphylla,53838,Paricarana-de-espinho
31586,Acacia polyphylla,49784,Paricarana-do-amazonas
34600,Acacia pycnantha,44837,Acácia-da-austrália
32851,Acacia riparia,45317,Malícia
32851,Acacia riparia,40891,Paricá-preto
32851,Acacia riparia,47524,Paricarana
32851,Acacia riparia,51199,Unha-de-gato
34075,Acacia spadicigera,40892,Acácia
35844,Acacia spp.,47525,Cobi
32210,Acacia striata,40893,Mata-cavalo
32827,Acacia visco,42849,Visco
18081,Acanthocereus brasiliensis,15834,Cacto
18081,Acanthocereus brasiliensis,15835,Cactus
450214,Acanthocereus tetragonus,73331,Órgano-alado-de-pitaya
32852,Acanthosyris paulo-alvinii,52056,Mata-cacau
34682,Acanthosyris spinescens,49785,Sombra-de-touro
32211,Acca sellowiana,36425,Araçá-do-rio-grande
32211,Acca sellowiana,51200,Goiaba
32211,Acca sellowiana,45318,Goiaba-ananás
32211,Acca sellowiana,45319,Goiaba-crioula
32211,Acca sellowiana,45142,Goiaba-da-serra
32211,Acca sellowiana,40425,Goiaba-de-casca-verde
32211,Acca sellowiana,51201,Goiaba-do-campo
32211,Acca sellowiana,36426,Goiaba-do-mato
32211,Acca sellowiana,36427,Goiaba-serrana
32211,Acca sellowiana,47526,Goiaba-silvestre
32211,Acca sellowiana,36428,Goiaba-verde
32211,Acca sellowiana,43017,Goiabeira-do-mato
32211,Acca sellowiana,48902,Goiabeira-serrana
31587,Acer monspessulanum,43018,Zelha
35845,Acer pseudo-platanus,47527,Falso-plátano
35845,Acer pseudo-platanus,52057,Sicômoro
34646,Achatocarpus bicornutus,49594,Cabo-de-lança
32076,Achatocarpus microcarpus,44458,Ibirau
34631,Achatocarpus praecox,44973,Ibirau
34633,Acioa edulis,40601,Castanha-de-cutia
35846,Acioa spp.,38637,Anoerá-ferro
31588,Acnistus arborescens,40613,Esporão-de-galo
31588,Acnistus arborescens,47528,Fruta-de-sabiá
31588,Acnistus arborescens,36429,Mariana
31588,Acnistus arborescens,36430,Marianeira
34683,Acosmium dasycarpum,45320,Chapada
34683,Acosmium dasycarpum,49745,Chapadinha
34683,Acosmium dasycarpum,47529,Pau-paratudo
34683,Acosmium dasycarpum,47064,Perobinha
34683,Acosmium dasycarpum,43019,Sucupira-da-serra
34683,Acosmium dasycarpum,52058,Unha-d'anta
36340,Acosmium lentiscifolium,44459,Murta
36430,Acosmium nitens,38392,Itaubarana
32853,Acosmium subelegans,36431,Amendoim-falso
32853,Acosmium subelegans,47530,Chapadinha
32853,Acosmium subelegans,45321,Sucupira-branca
32853,Acosmium subelegans,47348,Sucupira-do-campo
18083,Acostaea bicornis,15839,Orchid
18083,Acostaea bicornis,15838,Orquídea
18084,Acostaea costaricensis,15841,Orchid
18084,Acostaea costaricensis,15840,Orquídea
18085,Acostaea unicornis,15843,Orchid
18085,Acostaea unicornis,15842,Orquídea
18089,Acriopsis borneensis,15851,Orchid
18089,Acriopsis borneensis,15850,Orquídea
2024651,Acritopappus spp,89093,Assa-peixe
34579,Acrocarpus spp.,51490,Mundani
32854,Acrocomia aculeata,49786,Bacaiúba
32854,Acrocomia aculeata,49787,Bacaiuveira
32854,Acrocomia aculeata,44460,Bocaiúba
32854,Acrocomia aculeata,40871,Bocaiúba-de-são-lourenço
32854,Acrocomia aculeata,49464,Bocaiúba-dos-patanais
32854,Acrocomia aculeata,36432,Coco-baboso
32854,Acrocomia aculeata,45322,Coco-de-bacaiúba
32854,Acrocomia aculeata,38185,Coco-de-catarro
32854,Acrocomia aculeata,49595,Coco-de-espinho
32854,Acrocomia aculeata,52059,Macacaúba
32854,Acrocomia aculeata,40876,Macaiá-mirim
32854,Acrocomia aculeata,47531,Macaíba
32854,Acrocomia aculeata,38638,Macaibeira
32854,Acrocomia aculeata,43020,Macajuba
32854,Acrocomia aculeata,47532,Macaúba
32854,Acrocomia aculeata,38473,Mocajá
32854,Acrocomia aculeata,40894,Mocajaíba
32854,Acrocomia aculeata,38141,Mocajá-mirim
32854,Acrocomia aculeata,42214,Mocajá-pequeno
32854,Acrocomia aculeata,52060,Mucajuba
32854,Acrocomia aculeata,45323,Mucujá
32854,Acrocomia aculeata,44917,Palmeira
34076,Acrodiclidium appellii,47533,Aritu
34076,Acrodiclidium appellii,52061,Louro-aritu
32828,Acrodiclidium aureum,47349,Folha-dourada
34684,Acrodiclidium brasiliense,45324,Louro
32855,Acrodiclidium camara,53899,Camaçamará
32855,Acrodiclidium camara,39967,Camará
32855,Acrodiclidium camara,51202,Cambará-de-cheiro
32855,Acrodiclidium camara,52062,Itaúba-camará
34010,Acrodiclidium canella,40426,Canela-caxeta
35847,Acrodiclidium chrysophyllum,36433,Sassafrás-da-guiana
35847,Acrodiclidium chrysophyllum,45325,Sassafrás-do-pará
35848,Acrodiclidium cinnamomoides,52063,Canela-do-mato
35849,Acrodiclidium puchury-major,49525,Louro-puxuri
35849,Acrodiclidium puchury-major,43021,Puxuri
35849,Acrodiclidium puchury-major,42706,Puxuri-grosso
32856,Actinostemon caribaeus,36434,Capitão
32856,Actinostemon caribaeus,38639,Laranjeira-brava
32856,Actinostemon caribaeus,43022,Laranjeira-do-mato
32856,Actinostemon caribaeus,36435,Pau-rainha
32856,Actinostemon caribaeus,38466,Três-cores-vermelhas
35763,Actinostemon concolor,89529,Euphorbia-do-campo
35763,Actinostemon concolor,88771,Laranjeira-do-mato
35763,Actinostemon concolor,88802,Pau-canzil
2016049,Actinostemon concolor subsp. acuminatus,89495,Euphorbia-do-campo
31589,Actinostemon lanceolatus,48903,Caiteté
31589,Actinostemon lanceolatus,45326,Canela-de-veado
31589,Actinostemon lanceolatus,45143,Gonçalo-alves
31590,Actinostemon microcarpus,43023,Laranjeira-brava
31590,Actinostemon microcarpus,47534,Laranjeira-do-mato
31590,Actinostemon microcarpus,47535,Três-cores-vermelhas
35209,Actinostemon spp.,40427,Amesclão
34685,Adansonia digitata,42215,Baobab
34685,Adansonia digitata,40895,Iciboacica
35269,Adenanthera pavonina,38640,Carolina
35269,Adenanthera pavonina,71224,Segavé
35269,Adenanthera pavonina,49788,Tento-carolina
35270,Adenostephanus sellowii,38641,Catucanhém
325286,Aechmea nudicaulis,73983,Aechmea-desnuda
35271,Aegiphila arborescens,40896,Botim
35271,Aegiphila arborescens,44461,Pimenteira-do-mato
1072360,Aegiphila integrifolia,88742,Papagaio
1072360,Aegiphila integrifolia,88822,Tamanqueira
32212,Aegiphila klotzschiana,45327,Capoeirão
32212,Aegiphila klotzschiana,36436,Fruta-de-papagaio
32212,Aegiphila klotzschiana,54272,Papagaio
32212,Aegiphila klotzschiana,45328,Pau-de-papagaio
32212,Aegiphila klotzschiana,42682,Tamanqueiro-do-campo
32212,Aegiphila klotzschiana,49789,Tamanqueiro-do-cerrado
34686,Aegiphila lundii,40897,Capoeirão
35272,Aegiphila pernambucensis,52064,Salgueiro
35850,Aegiphila sellowiana,44860,Briaúva
35850,Aegiphila sellowiana,39973,Capoeira-branca
35850,Aegiphila sellowiana,44800,Capoeirão
35850,Aegiphila sellowiana,49790,Fruta-de-papagaio
35850,Aegiphila sellowiana,52065,Gaioleira
